cli_codigo;cnae;cnae_descr;cne_cnae_principal
2098610;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
2098610;4744-0/01;Comércio varejista de ferragens e ferramentas;0
2098610;4761-0/03;Comércio varejista de artigos de papelaria;0
2098610;4643-5/02;Comércio atacadista de bolsas, malas e artigos de viagem;0
2098610;4637-1/99;Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;0
2098610;4723-7/00;Comércio varejista de bebidas;0
2098610;4672-9/00;Comércio atacadista de ferragens e ferramentas;0
2098611;4635-4/99;Comércio atacadista de bebidas não especificadas anteriormente;1
2098611;4637-1/99;Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;0
2098611;4672-9/00;Comércio atacadista de ferragens e ferramentas;0
2098611;4643-5/02;Comércio atacadista de bolsas, malas e artigos de viagem;0
2098611;4647-8/01;Comércio atacadista de artigos de escritório e de papelaria;0
2098611;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;0
2098613;4635-4/99;Comércio atacadista de bebidas não especificadas anteriormente;1
2098613;4643-5/02;Comércio atacadista de bolsas, malas e artigos de viagem;0
2098613;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
2098613;4637-1/99;Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;0
2098613;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
2098613;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;0
2098613;4761-0/03;Comércio varejista de artigos de papelaria;0
2098613;4744-0/01;Comércio varejista de ferragens e ferramentas;0
2098613;4723-7/00;Comércio varejista de bebidas;0
2098613;4782-2/02;Comércio varejista de artigos de viagem;0
2098613;4647-8/01;Comércio atacadista de artigos de escritório e de papelaria;0
2098613;4729-6/99;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;0
2098613;4672-9/00;Comércio atacadista de ferragens e ferramentas;0
2101155;4651-6/01;Comércio atacadista de equipamentos de informática;1
2101155;4756-3/00;Comércio varejista especializado de instrumentos musicais e acessórios;0
2101155;5250-8/02;Atividades de despachantes aduaneiros;0
2101155;8299-7/99;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;0
2101155;8599-6/04;Treinamento em desenvolvimento profissional e gerencial;0
2101155;6202-3/00;Desenvolvimento e licenciamento de programas de computador customizáveis;0
2101155;5212-5/00;Carga e descarga;0
2101155;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
2101155;8111-7/00;Serviços combinados para apoio a edifícios, exceto condomínios prediais;0
2101155;7729-2/02;"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais";0
2101155;8599-6/03;Treinamento em informática;0
2101155;4689-3/99;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;0
2101155;4669-9/99;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";0
2101155;4673-7/00;Comércio atacadista de material elétrico;0
2101155;4751-2/01;Comércio varejista especializado de equipamentos e suprimentos de informática;0
2101155;4693-1/00;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;0
2101155;8020-0/01;Atividades de monitoramento de sistemas de segurança eletrônico;0
2101155;5250-8/03;Agenciamento de cargas, exceto para o transporte marítimo;0
2101155;9512-6/00;Reparação e manutenção de equipamentos de comunicação;0
2101155;6822-6/00;Gestão e administração da propriedade imobiliária;0
2101155;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
2101155;4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;0
2101155;6209-1/00;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0
2101155;4619-2/00;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;0
2101155;4757-1/00;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;0
2101155;7490-1/04;Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;0
2101155;7020-4/00;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;0
2101155;5250-8/01;Comissaria de despachos;0
2101155;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
2101155;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;0
2101155;6399-2/00;Outras atividades de prestação de serviços de informação não especificadas anteriormente;0
2101155;4652-4/00;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;0
2101155;4649-4/02;Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;0
2101155;4752-1/00;Comércio varejista especializado de equipamentos de telefonia e comunicação;0
2101155;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;0
2101155;6203-1/00;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0
2101155;4649-4/01;Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;0
2101155;5232-0/00;Atividades de agenciamento marítimo;0
2101155;7733-1/00;Aluguel de máquinas e equipamentos para escritório;0
2101155;4321-5/00;Instalação e manutenção elétrica;0
2101155;4651-6/02;Comércio atacadista de suprimentos para informática;0
2105295;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2105295;4689-3/99;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;0
2105295;4763-6/04;Comércio varejista de artigos de caça, pesca e camping;0
2105295;2930-1/03;Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus;0
2105295;4751-2/01;Comércio varejista especializado de equipamentos e suprimentos de informática;0
2105295;7731-4/00;Aluguel de máquinas e equipamentos agrícolas sem operador;0
2105295;5212-5/00;Carga e descarga;0
2105295;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;0
2105295;4511-1/04;Comércio por atacado de caminhões novos e usados;0
2105295;4530-7/04;Comércio a varejo de peças e acessórios usados para veículos automotores;0
2105295;7729-2/02;"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais";0
2105295;4292-8/01;Montagem de estruturas metálicas;0
2105295;4781-4/00;Comércio varejista de artigos do vestuário e acessórios;0
2105295;4681-8/02;Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);0
2105295;2944-1/00;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;0
2105295;6493-0/00;Administração de consórcios para aquisição de bens e direitos;0
2105295;4520-0/04;Serviços de alinhamento e balanceamento de veículos automotores;0
2105295;4744-0/01;Comércio varejista de ferragens e ferramentas;0
2105295;4649-4/02;Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;0
2105295;4542-1/02;Comércio sob consignação de motocicletas e motonetas;0
2105295;4399-1/99;Serviços especializados para construção não especificados anteriormente;0
2105295;4755-5/01;Comércio varejista de tecidos;0
2105295;4541-2/02;Comércio por atacado de peças e acessórios para motocicletas e motonetas;0
2105295;4520-0/02;Serviços de lanternagem ou funilaria e pintura de veículos automotores;0
2105295;3317-1/02;Manutenção e reparação de embarcações para esporte e lazer;0
2105295;7420-0/02;Atividades de produção de fotografias aéreas e submarinas;0
2105295;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
2105295;2942-5/00;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;0
2105295;4713-0/02;Lojas de variedades, exceto lojas de departamentos ou magazines;0
2105295;4399-1/02;Montagem e desmontagem de andaimes e outras estruturas temporárias;0
2105295;7721-7/00;Aluguel de equipamentos recreativos e esportivos;0
2105295;3319-8/00;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;0
2105295;3091-1/02;Fabricação de peças e acessórios para motocicletas;0
2105295;7719-5/01;Locação de embarcações sem tripulação, exceto para fins recreativos;0
2105295;2599-3/02;Serviço de corte e dobra de metais;0
2105295;4541-2/01;Comércio por atacado de motocicletas e motonetas;0
2105295;4652-4/00;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;0
2105295;2591-8/00;Fabricação de embalagens metálicas;0
2105295;4642-7/02;Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;0
2105295;3329-5/99;Instalação de outros equipamentos não especificados anteriormente;0
2105295;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2105295;7312-2/00;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;0
2105295;5911-1/99;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;0
2105295;3292-2/01;Fabricação de roupas de proteção e segurança e resistentes a fogo;0
2105295;4754-7/03;Comércio varejista de artigos de iluminação;0
2105295;4399-1/01;Administração de obras;0
2105295;4647-8/01;Comércio atacadista de artigos de escritório e de papelaria;0
2105295;4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;0
2105295;7729-2/03;Aluguel de material médico;0
2105295;4641-9/02;Comércio atacadista de artigos de cama, mesa e banho;0
2105295;4512-9/02;Comércio sob consignação de veículos automotores;0
2105295;3317-1/01;Manutenção e reparação de embarcações e estruturas flutuantes;0
2105295;1811-3/02;Impressão de livros, revistas e outras publicações periódicas;0
2105295;4643-5/01;Comércio atacadista de calçados;0
2105295;2593-4/00;Fabricação de artigos de metal para uso doméstico e pessoal;0
2105295;4763-6/01;Comércio varejista de brinquedos e artigos recreativos;0
2105295;2910-7/02;Fabricação de chassis com motor para automóveis, camionetas e utilitários;0
2105295;4763-6/03;"Comércio varejista de bicicletas e triciclos; peças e acessórios";0
2105295;4511-1/02;Comércio a varejo de automóveis, camionetas e utilitários usados;0
2105295;4530-7/02;Comércio por atacado de pneumáticos e câmaras-de-ar;0
2105295;4755-5/03;Comercio varejista de artigos de cama, mesa e banho;0
2105295;4543-9/00;Manutenção e reparação de motocicletas e motonetas;0
2105295;4782-2/01;Comércio varejista de calçados;0
2105295;5229-0/02;Serviços de reboque de veículos;0
2105295;4511-1/03;Comércio por atacado de automóveis, camionetas e utilitários novos e usados;0
2105295;4643-5/02;Comércio atacadista de bolsas, malas e artigos de viagem;0
2105295;5240-1/99;Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem;0
2105295;7719-5/99;Locação de outros meios de transporte não especificados anteriormente, sem condutor;0
2105295;5250-8/03;Agenciamento de cargas, exceto para o transporte marítimo;0
2105295;7490-1/05;Agenciamento de profissionais para atividades esportivas, culturais e artísticas;0
2105295;4511-1/01;Comércio a varejo de automóveis, camionetas e utilitários novos;0
2105295;2941-7/00;Fabricação de peças e acessórios para o sistema motor de veículos automotores;0
2105295;2740-6/02;Fabricação de luminárias e outros equipamentos de iluminação;0
2105295;2511-0/00;Fabricação de estruturas metálicas;0
2105295;4511-1/05;Comércio por atacado de reboques e semi-reboques novos e usados;0
2105295;4520-0/03;Serviços de manutenção e reparação elétrica de veículos automotores;0
2105295;7311-4/00;Agências de publicidade;0
2105295;1813-0/99;Impressão de material para outros usos;0
2105295;4669-9/01;"Comércio atacadista de bombas e compressores; partes e peças";0
2105295;7319-0/02;Promoção de vendas;0
2105295;2930-1/01;Fabricação de cabines, carrocerias e reboques para caminhões;0
2105295;2945-0/00;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;0
2105295;7732-2/01;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;0
2105295;4541-2/04;Comércio a varejo de motocicletas e motonetas usadas;0
2105295;4541-2/03;Comércio a varejo de motocicletas e motonetas novas;0
2105295;1529-7/00;Fabricação de artefatos de couro não especificados anteriormente;0
2105295;4520-0/08;Serviços de capotaria;0
2105295;2542-0/00;Fabricação de artigos de serralheria, exceto esquadrias;0
2105295;4763-6/05;"Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios";0
2105295;1812-1/00;Impressão de material de segurança;0
2105295;7319-0/04;Consultoria em publicidade;0
2105295;4763-6/02;Comércio varejista de artigos esportivos;0
2105295;4511-1/06;Comércio por atacado de ônibus e microônibus novos e usados;0
2105295;7711-0/00;Locação de automóveis sem condutor;0
2105295;4530-7/05;Comércio a varejo de pneumáticos e câmaras-de-ar;0
2105295;4649-4/03;Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;0
2105295;2949-2/99;Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;0
2105295;2592-6/02;Fabricação de produtos de trefilados de metal, exceto padronizados;0
2105295;2221-8/00;Fabricação de laminados planos e tubulares de material plástico;0
2105295;3292-2/02;Fabricação de equipamentos e acessórios para segurança pessoal e profissional;0
2105429;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2105429;4520-0/03;Serviços de manutenção e reparação elétrica de veículos automotores;0
2105710;2330-3/99;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;1
2105710;4744-0/05;Comércio varejista de materiais de construção não especificados anteriormente;0
2107432;4782-2/01;Comércio varejista de calçados;1
2107432;4763-6/02;Comércio varejista de artigos esportivos;0
2107432;4763-6/04;Comércio varejista de artigos de caça, pesca e camping;0
2107432;4781-4/00;Comércio varejista de artigos do vestuário e acessórios;0
2107476;4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;1
2107476;4322-3/02;Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;0
2107476;4789-0/05;Comércio varejista de produtos saneantes domissanitários;0
2107476;9521-5/00;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;0
2107476;4757-1/00;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;0
2108145;4759-8/01;Comércio varejista de artigos de tapeçaria, cortinas e persianas;1
2108145;4744-0/06;Comércio varejista de pedras para revestimento;0
2108145;4649-4/05;"Comércio atacadista de artigos de tapeçaria; persianas e cortinas";0
2113453;1629-3/01;Fabricação de artefatos diversos de madeira, exceto móveis;1
2113453;2833-0/00;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;0
2113453;4661-3/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";0
2114935;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
2114935;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
2114935;4619-2/00;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;0
2114935;4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;0
2114935;4637-1/99;Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;0
2116299;5611-2/01;Restaurantes e similares;1
2116299;5611-2/03;Lanchonetes, casas de chá, de sucos e similares;0
2116299;5611-2/04;Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento;0
2116299;4729-6/02;Comércio varejista de mercadorias em lojas de conveniência;0
2116299;5611-2/05;Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento;0
2122746;1629-3/01;Fabricação de artefatos diversos de madeira, exceto móveis;1
2122746;3299-0/99;Fabricação de produtos diversos não especificados anteriormente;0
2122746;2229-3/99;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;0
2122746;2229-3/02;Fabricação de artefatos de material plástico para usos industriais;0
2127926;4683-4/00;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;1
2127926;4623-1/06;Comércio atacadista de sementes, flores, plantas e gramas;0
2127926;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2127926;4930-2/03;Transporte rodoviário de produtos perigosos;0
2127926;4789-0/04;Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;0
2132207;4644-3/01;Comércio atacadista de medicamentos e drogas de uso humano;1
2132207;4645-1/01;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;0
2132207;4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;0
2132207;4646-0/01;Comércio atacadista de cosméticos e produtos de perfumaria;0
2132207;4771-7/04;Comércio varejista de medicamentos veterinários;0
2132207;4646-0/02;Comércio atacadista de produtos de higiene pessoal;0
2132207;4644-3/02;Comércio atacadista de medicamentos e drogas de uso veterinário;0
2132207;4664-8/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";0
2132207;4642-7/02;Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;0
2132207;4773-3/00;Comércio varejista de artigos médicos e ortopédicos;0
2132207;4771-7/01;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;0
2132207;4645-1/03;Comércio atacadista de produtos odontológicos;0
2132207;4789-0/05;Comércio varejista de produtos saneantes domissanitários;0
2132207;4772-5/00;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;0
2133024;4645-1/01;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;1
2133024;3312-1/03;Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;0
2133024;7739-0/02;Aluguel de equipamentos científicos, médicos e hospitalares, sem operador;0
2133024;4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;0
2133024;8640-2/07;Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética;0
2133024;1830-0/03;Reprodução de software em qualquer suporte;0
2133024;4618-4/02;Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares;0
2138864;4729-6/99;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1
2138864;4763-6/02;Comércio varejista de artigos esportivos;0
2138864;4721-1/04;Comércio varejista de doces, balas, bombons e semelhantes;0
2138864;4781-4/00;Comércio varejista de artigos do vestuário e acessórios;0
2140299;4530-7/04;Comércio a varejo de peças e acessórios usados para veículos automotores;1
2144546;4313-4/00;Obras de terraplenagem;1
2144546;4930-2/03;Transporte rodoviário de produtos perigosos;0
2150951;2099-1/99;Fabricação de outros produtos químicos não especificados anteriormente;1
2150951;4612-5/00;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;0
2150951;4684-2/99;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;0
2150951;5211-7/99;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;0
2150951;6462-0/00;Holdings de instituições não-financeiras;0
2150951;2093-2/00;Fabricação de aditivos de uso industrial;0
2153397;4744-0/05;Comércio varejista de materiais de construção não especificados anteriormente;1
2153888;1340-5/01;Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário;1
2153888;1340-5/02;Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;0
2153888;4641-9/01;Comércio atacadista de tecidos;0
2157173;2543-8/00;Fabricação de ferramentas;1
2157173;4744-0/01;Comércio varejista de ferragens e ferramentas;0
2157173;4672-9/00;Comércio atacadista de ferragens e ferramentas;0
2157173;9529-1/99;Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;0
2157235;3101-2/00;Fabricação de móveis com predominância de madeira;1
2157235;3103-9/00;Fabricação de móveis de outros materiais, exceto madeira e metal;0
2157235;1622-6/02;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;0
2157235;3102-1/00;Fabricação de móveis com predominância de metal;0
2157235;9529-1/05;Reparação de artigos do mobiliário;0
2163404;4120-4/00;Construção de edifícios;1
2163404;4399-1/99;Serviços especializados para construção não especificados anteriormente;0
2163404;4222-7/01;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;0
2163404;7732-2/01;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;0
2163404;2330-3/05;Preparação de massa de concreto e argamassa para construção;0
2163404;4213-8/00;Obras de urbanização - ruas, praças e calçadas;0
2163404;4313-4/00;Obras de terraplenagem;0
2163404;4211-1/01;Construção de rodovias e ferrovias;0
2163404;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2163404;7112-0/00;Serviços de engenharia;0
2163404;4391-6/00;Obras de fundações;0
2163404;6810-2/03;Loteamento de imóveis próprios;0
2163404;4110-7/00;Incorporação de empreendimentos imobiliários;0
2163404;4212-0/00;Construção de obras-de-arte especiais;0
2163404;6810-2/01;Compra e venda de imóveis próprios;0
2163404;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;0
2163404;4299-5/99;Outras obras de engenharia civil não especificadas anteriormente;0
2163404;6810-2/02;Aluguel de imóveis próprios;0
2163404;4399-1/01;Administração de obras;0
2163404;4399-1/04;Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;0
2165177;4661-3/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";1
2165177;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2165177;6619-3/02;Correspondentes de instituições financeiras;0
2165177;6463-8/00;Outras sociedades de participação, exceto holdings;0
2165177;6462-0/00;Holdings de instituições não-financeiras;0
2169147;4781-4/00;Comércio varejista de artigos do vestuário e acessórios;1
2169147;4754-7/02;Comércio varejista de artigos de colchoaria;0
2169147;4782-2/02;Comércio varejista de artigos de viagem;0
2169147;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
2169147;4755-5/02;Comercio varejista de artigos de armarinho;0
2169147;4759-8/01;Comércio varejista de artigos de tapeçaria, cortinas e persianas;0
2169147;4761-0/03;Comércio varejista de artigos de papelaria;0
2169147;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
2169147;4782-2/01;Comércio varejista de calçados;0
2169147;4763-6/01;Comércio varejista de brinquedos e artigos recreativos;0
2169147;4755-5/03;Comercio varejista de artigos de cama, mesa e banho;0
2169147;4755-5/01;Comércio varejista de tecidos;0
2169147;4789-0/01;Comércio varejista de suvenires, bijuterias e artesanatos;0
2169147;4763-6/02;Comércio varejista de artigos esportivos;0
2169263;1531-9/01;Fabricação de calçados de couro;1
2169263;4642-7/01;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;0
2169263;4759-8/99;Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;0
2169263;4782-2/02;Comércio varejista de artigos de viagem;0
2169263;1521-1/00;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;0
2169263;1532-7/00;Fabricação de tênis de qualquer material;0
2169263;1540-8/00;Fabricação de partes para calçados, de qualquer material;0
2169263;4781-4/00;Comércio varejista de artigos do vestuário e acessórios;0
2169263;4782-2/01;Comércio varejista de calçados;0
2169449;4761-0/01;Comércio varejista de livros;1
2173374;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;1
2173374;4322-3/03;Instalações de sistema de prevenção contra incêndio;0
2173374;3314-7/10;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;0
2173374;4742-3/00;Comércio varejista de material elétrico;0
2173374;4772-5/00;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;0
2173374;4321-5/00;Instalação e manutenção elétrica;0
2173374;4744-0/99;Comércio varejista de materiais de construção em geral;0
2176863;2222-6/00;Fabricação de embalagens de material plástico;1
2176863;2229-3/99;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;0
2176863;4689-3/99;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;0
2176863;4665-6/00;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";0
2176863;4686-9/02;Comércio atacadista de embalagens;0
2178105;1510-6/00;Curtimento e outras preparações de couro;1
2178105;4789-0/99;Comércio varejista de outros produtos não especificados anteriormente;0
2178105;4623-1/02;Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal;0
2179130;2330-3/02;Fabricação de artefatos de cimento para uso na construção;1
2179130;4399-1/04;Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;0
2179130;4313-4/00;Obras de terraplenagem;0
2179130;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;0
2179421;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;1
2179421;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;0
2179670;4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores;1
2179670;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;0
2179670;4744-0/01;Comércio varejista de ferragens e ferramentas;0
2179670;4530-7/05;Comércio a varejo de pneumáticos e câmaras-de-ar;0
2179807;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2179807;4520-0/05;Serviços de lavagem, lubrificação e polimento de veículos automotores;0
2179807;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
2179807;4520-0/03;Serviços de manutenção e reparação elétrica de veículos automotores;0
2179807;4520-0/06;Serviços de borracharia para veículos automotores;0
2179807;4732-6/00;Comércio varejista de lubrificantes;0
2179807;4520-0/08;Serviços de capotaria;0
2179807;4520-0/02;Serviços de lanternagem ou funilaria e pintura de veículos automotores;0
2179807;2950-6/00;Recondicionamento e recuperação de motores para veículos automotores;0
2179807;4520-0/04;Serviços de alinhamento e balanceamento de veículos automotores;0
2186430;4744-0/99;Comércio varejista de materiais de construção em geral;1
2186430;4713-0/04;Lojas de departamentos ou magazines, exceto lojas francas (duty free);0
2189551;4682-6/00;Comércio atacadista de gás liqüefeito de petróleo (GLP);1
2189551;4784-9/00;Comércio varejista de gás liqüefeito de petróleo (GLP);0
2189551;4930-2/03;Transporte rodoviário de produtos perigosos;0
2201269;2823-2/00;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios;1
2201269;4649-4/01;Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;0
2201269;4754-7/01;Comércio varejista de móveis;0
2201269;2229-3/02;Fabricação de artefatos de material plástico para usos industriais;0
2201269;2759-7/99;Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios;0
2201269;3314-7/07;Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;0
2201269;3319-8/00;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;0
2201269;4686-9/02;Comércio atacadista de embalagens;0
2201269;4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;0
2201269;2319-2/00;Fabricação de artigos de vidro;0
2201269;4649-4/04;Comércio atacadista de móveis e artigos de colchoaria;0
2201269;3101-2/00;Fabricação de móveis com predominância de madeira;0
2201269;3102-1/00;Fabricação de móveis com predominância de metal;0
2201269;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;0
2201269;3103-9/00;Fabricação de móveis de outros materiais, exceto madeira e metal;0
2201269;4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;0
2201269;4663-0/00;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";0
2201269;2511-0/00;Fabricação de estruturas metálicas;0
2201640;4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores;1
2201640;4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores;0
2201640;8599-6/04;Treinamento em desenvolvimento profissional e gerencial;0
2201649;4683-4/00;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;1
2201649;4661-3/00;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";0
